epoch,train_loss,val_loss,IoU,mAP,precision,recall,F1_score,FPS
1,6.79925518056142,5.384088503944863,0.7245393298181986,0.7245393298181986,0.9386376721732583,1.0,0.9683477068935976,48.35655124309855
2,3.0431405848213453,4.170076270521585,0.7629951008205631,0.7629951008205631,0.9488019841445591,1.0,0.9737284668878686,56.417035034454955
3,2.612713629144989,2.858563103815219,0.8350889223720683,0.8350889223720683,0.9762611275964391,1.0,0.9879879879879879,56.58528551634308
4,2.35616629795502,2.6373873106983514,0.8410296472157976,0.8410296472157976,0.9769254617122105,1.0,0.9883280686426059,56.62113299055534
5,2.1605570753730747,2.5040422647795495,0.8440132415843653,0.8440132415843653,0.9827937464015235,1.0,0.991322217134433,56.58781646848673
